User agent|Software|Software Type|Hardware Type|Popularity
Mozilla/5.0 (X11; CrOS armv7l 13020.87.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.119 Safari/537.36|Chrome 83|Web Browser|Computer|Average
Mozilla/5.0 (X11; CrOS x86_64 9334.69.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.112 Safari/537.36|Chrome 58|Web Browser|Computer|Average
Mozilla/5.0 (X11; CrOS x86_64 7262.52.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.86 Safari/537.36|Chrome 45|Web Browser|Computer|Average
Mozilla/5.0 (X11; CrOS armv7l 8350.68.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36|Chrome 52|Web Browser|Computer|Average
Mozilla/5.0 (X11; CrOS x86_64 8172.45.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.64 Safari/537.36|Chrome 51|Web Browser|Computer|Average
Mozilla/5.0 (X11; CrOS x86_64 7647.73.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.92 Safari/537.36|Chrome 48|Web Browser|Computer|Average
Mozilla/5.0 (X11; CrOS armv7l 12499.51.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.92 Safari/537.36|Chrome 78|Web Browser|Computer|Average
Mozilla/5.0 (X11; CrOS x86_64 12239.19.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.38 Safari/537.36|Chrome 76|Web Browser|Computer|Average
Mozilla/5.0 (X11; CrOS x86_64 11316.6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.83 Safari/537.36|Chrome 72|Web Browser|Computer|Average
Mozilla/5.0 (X11; CrOS armv7l 13099.85.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.110 Safari/537.36|Chrome 84|Web Browser|Computer|Average
Mozilla/5.0 (X11; CrOS x86_64 7520.63.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36|Chrome 47|Web Browser|Computer|Average
